MHandle     MName                                                         MTypeHnd    MTypeName
0x1073b0    10.1.0.60                                                     0x10290     Pingable        
0x1072b0    pmc-db-085a.lmig.com                                          0x10290     Pingable        
0x10bfb0    172.25.120.1                                                  0x2100b2    SwCiscoIOS      
0x1057b0    0055-core-a-loopback.lmig.com                                 0x2100b2    SwCiscoIOS      
0x110439    0055-cm-prtl-web-perf-bigip1.lmig.com                         0x3b7000e   F5BigIPDev      
0x108fb9    0878-g700.lmig.com                                            0x3c6000c   LucentP330      
0x112e39    10.49.76.110                                                  0x10290     Pingable        
0x1073b9    10.1.0.100                                                    0x10290     Pingable        
0x12f8c2    0022-dallas-mpls-rtr1-lo10.lmig.com                           0x21000c    Rtr_Cisco       
0x1116c2    0055-4506-lab-06.lmig.com                                     0x11c0011   SwCat4xxx       
0x1040c2    0001-Boston                                                   0x3d0002    GnSNMPDev       
0x12f0c2    0055-inet-fw-01.lmig.com                                      0x10290     Pingable        
0x107442    10.11.5.1                                                     0x10290     Pingable        
0x1073c2    10.2.0.12                                                     0x10290     Pingable        
0x1116cb    ccie-lantronix.lmig.com                                       0x10290     Pingable        
0x10874b    cain-lm-b.lmig.com                                            0x10290     Pingable        
0x10744b    10.11.10.3                                                    0x10290     Pingable        
0x1073cb    10.2.0.54                                                     0x10290     Pingable        
0x1124d4    search-dev.lmig.com                                           0x1160089   Host_Device     
0x103bd4    0969-Indianapolis-mpls-rtr1.lmig.com                          0x21000c    Rtr_Cisco       
0x112e54    016c-dover-wae-01.lmig.com                                    0x2100cb    GnCiscoDev      
0x1116d4    10.94.16.72                                                   0x10290     Pingable        
0x107454    10.11.13.2                                                    0x10290     Pingable        
0x1116dd    10.94.18.45                                                   0x10290     Pingable        
0x10745d    10.11.16.1                                                    0x10290     Pingable        
0x1072dd    msp070drvio4.lmig.com                                         0x10290     Pingable        
0x111edd    0055-distn-h.lmig.com                                         0x2100b2    SwCiscoIOS      
0x12f1e6    0055-ab-nonprod-bigip2.lmig.com                               0x3b7000e   F5BigIPDev      
0x12ff66    0131-dover-mpls-rtr1.lmig.com                                 0x21000c    Rtr_Cisco       
0x1308e6    vm-pmcti-p01p                                                 0x3d0002    GnSNMPDev       
0x112e66    0001-boston-wae-01.lmig.com                                   0x2100cb    GnCiscoDev      
0x1116e6    liblab-aab99025.lmig.com                                      0x10290     Pingable        
0x107466    10.12.16.1                                                    0x10290     Pingable        
0x104166    085c-pms                                                      0x10290     Pingable        
0x111709    POC-SMSPRI-02                                                 0x1160089   Host_Device     
0x12f609    0925-southmiami-mpls-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x10cd09    172.16.118.27                                                 0x2100b2    SwCiscoIOS      
0x12fd80    0667-saltlakecity-mpls-rtr1.lmig.com                          0x21000c    Rtr_Cisco       
0x107480    10.21.1.106                                                   0x10290     Pingable        
0x10c1e6    172.31.62.4                                                   0x2100b2    SwCiscoIOS      
0x10b6e6    10.7.20.198                                                   0x2100b2    SwCiscoIOS      
0x103cef    r-cs-0126-01.lm.lmig.com                                      0x1160089   Host_Device     
0x1074ef    0055-dist-n-sw1.lmig.com                                      0x11c0013   SwCat6xxx       
0x10ffef    r-cs-0949-02.lm.lmig.com                                      0x1160069   Host_Compaq     
0x1116ef    10.94.20.64                                                   0x10290     Pingable        
0x10746f    10.12.24.1                                                    0x10290     Pingable        
0x10c1ef    172.31.94.227                                                 0x2100b2    SwCiscoIOS      
0x105af8    0055-mpls-a-rtr2                                              0x21000c    Rtr_Cisco       
0x1080f8    0055-pmv-cna1.lmig.com                                        0x3d0002    GnSNMPDev       
0x1116f8    10.94.20.130                                                  0x10290     Pingable        
0x107478    10.20.1.82                                                    0x10290     Pingable        
0x106678    PrivateASN_65000                                              0x1048f     Provider_Cloud  
0x10ccf8    172.16.128.30                                                 0x2100b2    SwCiscoIOS      
0x12f401    085a-ram-stage-ldap-bigip1.lmig.com                           0x3b7000e   F5BigIPDev      
0x111701    IBM Remote Supervisor                                         0x3d0002    GnSNMPDev       
0x107481    10.21.1.110                                                   0x10290     Pingable        
0x10cd01    172.16.118.10                                                 0x2100b2    SwCiscoIOS      
0x11170a    IBM Remote Supervisor                                         0x3d0002    GnSNMPDev       
0x103cc1    r-cs-0100-01.lm.lmig.com                                      0x1160089   Host_Device     
0x1116c1    0055-2511-lab.lmig.com                                        0x21000c    Rtr_Cisco       
0x106541    0860-COLUMBUS-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x12fb38    0075-memphis-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x10b638    wincs-0612-01.lm.lmig.com                                     0x1160069   Host_Compaq     
0x1073b8    10.1.0.98                                                     0x10290     Pingable        
0x12e72f    0055-test-fw-01                                               0x49b0000   NSFirewallVPN   
0x12f22f    0055-ec-prod-int-bigip2.libertyec.com.                        0x3b70005   BigIPLoadBlncr  
0x1063af    0009-Hopkinton-mpls-rtr1.lmig.com                             0x21000c    Rtr_Cisco       
0x12f226    0055-ec-prod-int-bigip1.libertyec.com.                        0x3b70005   BigIPLoadBlncr  
0x1100a6    lm-dc-06.lm.lmig.com                                          0x1160069   Host_Compaq     
0x112f26    085a-blox-int-dhcp-01.lmig.com                                0x3d0002    GnSNMPDev       
0x10979d    085a-mpls-v-rtr2.lmig.com                                     0x21000c    Rtr_Cisco       
0x106a9d    classy-hp.lmig.com                                            0x1160069   Host_Compaq     
0x103d1d    r-cs-0125-01-r.lmig.com                                       0x3d0002    GnSNMPDev       
0x103b9d    tsog.lmig.com                                                 0x3d0002    GnSNMPDev       
0x10861d    0055-isci-sw1.lmig.com                                        0x2100b2    SwCiscoIOS      
0x1074a6    p2dcpdc.lmig.com                                              0x10290     Pingable        
0x11170b    POC-SMSSEC-01                                                 0x1160089   Host_Device     
0x10818b    0412-cna-mgmt.lmig.com                                        0x3d0002    GnSNMPDev       
0x10748b    10.21.1.150                                                   0x10290     Pingable        
0x111702    POC-SMSCTR                                                    0x1160089   Host_Device     
0x104f02    KC_SNBKUP_48_1                                                0x43b0003   SilkWormSw      
0x107482    10.21.1.114                                                   0x10290     Pingable        
0x12f3f9    0190-intuity.lmig.com                                         0x1160089   Host_Device     
0x1062f9    0055-Portsmouth-MPLS-rtr2.lmig.com                            0x21000c    Rtr_Cisco       
0x105b79    0055-mpls-v-rtr1.lmig.com                                     0x21000c    Rtr_Cisco       
0x110970    DSMRDCEI81                                                    0x1160089   Host_Device     
0x10acf0    richmond.kc.lmig.com                                          0x1160089   Host_Device     
0x12f0f0    0055-nat-gwy-2-g0-0.lmig.com                                  0x21000c    Rtr_Cisco       
0x12f967    066c-grandrapids-mpls-rtr1.lmig.com                           0x21000c    Rtr_Cisco       
0x103d67    0055-blox-int-dhcp-01.lmig.com                                0x3d0002    GnSNMPDev       
0x130ae7    0055-acns-cdm-np                                              0x2100cb    GnCiscoDev      
0x11095e    DSMRDCEI02                                                    0x1160089   Host_Device     
0x103d5e    X346DIRIMAGE                                                  0x1160089   Host_Device     
0x1116de    liblab-c4ae62ca.lmig.com                                      0x10290     Pingable        
0x1068d5    PMC-LG2-085A                                                  0x1160089   Host_Device     
0x1067d5    x2c7pdc.lmig.com                                              0x1160089   Host_Device     
0x130455    0055-idc-rtr1                                                 0x21000c    Rtr_Cisco       
0x109dcc    bacchus.lmig.com                                              0x1160089   Host_Device     
0x130acc    10.49.84.39                                                   0x3d0002    GnSNMPDev       
0x108fcc    0878-8300.lmig.com                                            0x3d0002    GnSNMPDev       
0x12f8c3    0023-seattle-mpls-rtr1-lo10.lmig.com                          0x21000c    Rtr_Cisco       
0x1116c3    0055-4506-lab-04.lmig.com                                     0x11c0011   SwCat4xxx       
0x12f0c3    0055-inet-fw-02.lmig.com                                      0x10290     Pingable        
0x103cba    r-cs-0066-01.lm.lmig.com                                      0x1160089   Host_Device     
0x112e3a    x181kdc.lmig.com                                              0x10290     Pingable        
0x1073ba    10.1.0.110                                                    0x10290     Pingable        
0x1072b1    pmc-nms-085a.lmig.com                                         0x1160089   Host_Device     
0x12fcb1    0617-lasvegas-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x1081b1    085a-cna-bgp.lmig.com                                         0x3d0002    GnSNMPDev       
0x12e228    ec-prod1-sw1.lmig.com                                         0x11c0013   SwCat6xxx       
0x10b628    lm-dc-10.lm.lmig.com                                          0x1160069   Host_Compaq     
0x10afa8    r-cs-0975-01.lm.lmig.com                                      0x1160069   Host_Compaq     
0x12f21f    vm-hsspwfe-t01p.lmig.com                                      0x1160089   Host_Device     
0x12f79f    0014-cincinnati-mpls-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x12f69f    0132-londonderry-mpls-rtr1.lmig.com                           0x21000c    Rtr_Cisco       
0x103c16    0055-blox-int03b-lan                                          0x1160089   Host_Device     
0x12fd16    0629-orem-mpls-rtr1.lmig.com                                  0x21000c    Rtr_Cisco       
0x103c96    r-cs-0246-01.lm.lmig.com                                      0x1160069   Host_Compaq     
0x11170d    10.94.20.22                                                   0x1160089   Host_Device     
0x103c8d    r-cs-0176-01.lm.lmig.com                                      0x1160069   Host_Compaq     
0x13090d    10.92.138.65                                                  0x3d0002    GnSNMPDev       
0x12f184    0055-lab-2000-fw1                                             0x49b0000   NSFirewallVPN   
0x12f704    0011-plymouthmeeting-mpls-rtr1.lmig.com                       0x21000c    Rtr_Cisco       
0x111704    0055-lab-04-probe.lmig.com                                    0x3d0002    GnSNMPDev       
0x11087b    0083-bozeman-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x10affb    172.25.7.229                                                  0x22e0021   HubBaySt450     
0x111f7b    i-swdev-0055-01.lmig.com                                      0x11600b8   Host_IBMDirector 
0x10ccf2    172.16.120.230                                                0x4b60002   AirespaceSw     
0x1116f2    10.94.20.102                                                  0x10290     Pingable        
0x107472    10.12.27.1                                                    0x10290     Pingable        
0x1116e9    liblab-e275bbdd.mis.lmig.com                                  0x10290     Pingable        
0x107469    10.12.19.1                                                    0x10290     Pingable        
0x10c1e9    172.31.62.10                                                  0x2100b2    SwCiscoIOS      
0x1116e0    0055-blox-sandbox1-lan.lmig.com                               0x3d0002    GnSNMPDev       
0x107460    10.11.16.4                                                    0x10290     Pingable        
0x10b6e0    10.7.20.221                                                   0x2100b2    SwCiscoIOS      
0x12f5d7    0139-kennebunk-mpls-rtr1.lmig.com                             0x21000c    Rtr_Cisco       
0x1116d7    lm-qa-apdb-0055-01.lmig.com                                   0x10290     Pingable        
0x107457    10.11.14.2                                                    0x10290     Pingable        
0x12f54e    0055-finjan-42                                                0x1160089   Host_Device     
0x1068ce    PMC-LG1-085A                                                  0x1160089   Host_Device     
0x12fbce    0087-missoula-mpls-rtr1.lmig.com                              0x21000c    Rtr_Cisco       
0x105e45    016C-4507R-1A-SW1                                             0x11c001c   SwCat45xx       
0x1116c5    0055-4506-lab-05.lmig.com                                     0x11c0011   SwCat4xxx       
